artist,weekend,pop,month,score,genre,minprice
Migos,1,406253,10,90,Hip-Hop/Rap,59.5
Migos,0,406253,10,90,Hip-Hop/Rap,59.5
Drake,1,406253,10,99,Hip-Hop/Rap,59.5
Drake,0,447841,11,99,Hip-Hop/Rap,59.5
Drake,1,447841,11,99,Hip-Hop/Rap,59.5
Migos,0,447841,11,90,Hip-Hop/Rap,59.5
Migos,0,688701,8,90,Hip-Hop/Rap,59.5
Drake,0,688701,8,99,Hip-Hop/Rap,59.5
Cardi B,1,1257676,10,93,Rock,59.5
Cardi B,1,1257676,10,93,Rock,59.5
Bruno Mars,1,1257676,10,88,Rock,59.5
Bruno Mars,1,1257676,10,88,Rock,59.5
Janelle Monae,0,2718782,7,76,R&B,59.5
Drake,1,2718782,8,99,Hip-Hop/Rap,59.5
Drake,0,2718782,8,99,Hip-Hop/Rap,59.5
Migos,1,2718782,8,90,Hip-Hop/Rap,59.5
Migos,0,2718782,8,90,Hip-Hop/Rap,59.5
P!nk,1,688701,4,82,Rock,59.45
P!nk,0,688701,4,82,Rock,59.45
Bad Bunny,0,688701,9,95,Hip-Hop/Rap,59
Keith Urban,1,62298,7,77,Country,58.75
Metallica,0,674433,2,82,Metal,58.25
Logic,1,609456,7,88,Hip-Hop/Rap,57.5
NF,1,609456,7,81,Hip-Hop/Rap,57.5
Leon Bridges,0,52122,10,76,R&B,56.5
Leon Bridges,1,52122,10,76,R&B,56.5
Cardi B,0,398121,10,93,Rock,56.5
Bruno Mars,0,398121,10,88,Rock,56.5
P!nk,1,202824,5,82,Rock,56.45
J Balvin,1,352957,10,95,Hip-Hop/Rap,56.2
Bad Bunny,0,83860,8,95,Hip-Hop/Rap,55.5
Migos,0,203446,11,90,Hip-Hop/Rap,55.5
Jason Aldean,1,236716,9,79,Country,55.5
Luke Combs,1,236716,9,79,Country,55.5
Migos,0,417650,9,90,Hip-Hop/Rap,55.5
Drake,1,417650,9,99,Hip-Hop/Rap,55.5
Migos,1,417650,9,90,Hip-Hop/Rap,55.5
Drake,0,417650,9,99,Hip-Hop/Rap,55.5
Justin Timberlake,0,345012,11,85,Rock,55
P!nk,1,378715,3,82,Rock,55
Foster The People,0,400070,7,77,Rock,55
Cardi B,1,634464,10,93,Rock,55
Cardi B,1,634464,10,93,Rock,55
Bruno Mars,1,634464,10,88,Rock,55
Bruno Mars,1,634464,10,88,Rock,55
Drake,0,645966,9,99,Hip-Hop/Rap,55
Cardi B,0,645966,9,93,Rock,55
Migos,0,645966,9,90,Hip-Hop/Rap,55
Cardi B,0,645966,9,93,Rock,55
Bruno Mars,0,645966,9,88,Rock,55
Bruno Mars,0,645966,9,88,Rock,55
Bazzi,0,843393,6,83,Rock,55
Leon Bridges,1,1553165,10,76,R&B,55
Leon Bridges,1,1553165,9,76,R&B,55
Justin Timberlake,0,2718782,10,85,Rock,55
P!nk,1,56756,3,82,Rock,54.95
P!nk,0,90116,3,82,Rock,54.95
P!nk,1,196021,3,82,Rock,54.95
Sam Smith,0,52122,6,86,Rock,54.75
Kelly Clarkson,0,128429,8,76,Rock,54.5
Bad Bunny,0,447841,11,95,Hip-Hop/Rap,54.5
Leon Bridges,1,599164,9,76,R&B,54.47
Kenny Chesney,0,77846,6,76,Country,54.25
Halsey,1,226877,7,85,Rock,54.13
Migos,1,378715,9,90,Hip-Hop/Rap,54
Janelle Monae,0,400070,7,76,R&B,53.5
Justin Timberlake,0,447841,1,85,Rock,53.5
Justin Timberlake,0,599164,9,85,Rock,53.5
Justin Timberlake,0,44349,1,85,Rock,53
Bad Bunny,1,406253,8,95,Hip-Hop/Rap,53
Bad Bunny,1,167500,9,95,Hip-Hop/Rap,52.5
P!nk,0,1409019,3,82,Rock,51.99
Kane Brown,0,49468,7,77,Country,50.85
Jason Aldean,1,52122,8,79,Country,50.75
Janelle Monae,1,66174,6,76,R&B,50
Migos,0,70373,6,90,Hip-Hop/Rap,50
Foster The People,0,599164,7,77,Rock,50
Marshmello,0,599164,6,89,Dance/Electronic,50
Keith Urban,0,634464,8,77,Country,50
Charlie Puth,0,645966,7,87,Rock,50
Janelle Monae,0,3884307,6,76,R&B,50
Rae Sremmurd,0,69079,8,87,Hip-Hop/Rap,49.95
J Balvin,1,1513367,9,95,Hip-Hop/Rap,49.95
Demi Lovato,0,39551,7,88,Rock,49.5
Maroon,0,44349,10,88,Rock,49.5
Imagine Dragons,0,52122,6,89,Rock,49.5
NF,1,52122,6,81,Hip-Hop/Rap,49.5
Childish Gambino,1,52122,9,87,Hip-Hop/Rap,49.5
Janelle Monae,0,52122,7,76,R&B,49.5
Childish Gambino,0,52122,9,87,Hip-Hop/Rap,49.5
Childish Gambino,0,54790,9,87,Hip-Hop/Rap,49.5
Maroon,0,54790,10,88,Rock,49.5
Taylor Swift,0,75994,10,89,Rock,49.5
Camila Cabello,0,75994,10,88,Rock,49.5
Taylor Swift,1,75994,10,89,Rock,49.5
Justin Timberlake,1,76185,10,85,Rock,49.5
Childish Gambino,0,111542,9,87,Hip-Hop/Rap,49.5
Childish Gambino,0,111542,10,87,Hip-Hop/Rap,49.5
Camila Cabello,1,202824,7,88,Rock,49.5
Taylor Swift,1,202824,7,89,Rock,49.5
Maroon,0,202824,9,88,Rock,49.5
Justin Timberlake,0,305841,9,85,Rock,49.5
Bruno Mars,1,347884,11,88,Rock,49.5
Justin Timberlake,0,378715,1,85,Rock,49.5
Childish Gambino,0,406253,9,87,Hip-Hop/Rap,49.5
Justin Timberlake,0,406253,12,85,Rock,49.5
Taylor Swift,1,417650,8,89,Rock,49.5
Camila Cabello,1,417650,8,88,Rock,49.5
Janelle Monae,1,431746,7,76,R&B,49.5
Justin Timberlake,1,431746,1,85,Rock,49.5
Janelle Monae,1,447841,8,76,R&B,49.5
Janelle Monae,1,447841,8,76,R&B,49.5
Imagine Dragons,0,556495,7,89,Rock,49.5
Maroon,1,599164,9,88,Rock,49.5
Justin Timberlake,0,609456,11,85,Rock,49.5
Leon Bridges,0,652405,9,76,R&B,49.5
Justin Timberlake,1,653450,1,85,Rock,49.5
Maroon,1,688701,9,88,Rock,49.5
